School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
George Washington,32,15,17,0.469,-1.03,-0.06,,4,14,,12,6,,1,9,,2457,2472,,70.4,106.8,0.222,0.381,0.525,50.5,49.2,9.4,10.3,0.497,12.1,29.1,0.167,2023-2024
Georgetown,32,9,23,0.281,0.68,7.72,,2,18,,7,12,,2,10,,2267,2492,,67.4,114.6,0.336,0.382,0.584,49.9,55.5,11.0,11.4,0.557,14.3,30.7,0.240,2023-2024
Georgia,37,20,17,0.541,8.63,8.63,,6,12,,13,6,,6,6,,2764,2764,,70.6,105.4,0.293,0.372,0.530,51.6,54.2,9.1,12.0,0.498,14.0,30.5,0.212,2023-2024
Georgia Southern,33,9,24,0.273,-8.44,-2.53,,8,10,,6,6,,2,14,,2420,2615,,70.1,111.8,0.430,0.364,0.558,52.7,49.5,10.5,12.4,0.520,14.6,33.8,0.303,2023-2024
Georgia State,31,14,17,0.452,-4.59,-2.59,,8,10,,9,5,,5,11,,2370,2319,,70.6,105.1,0.343,0.383,0.521,50.7,49.5,7.9,10.1,0.484,12.8,29.5,0.244,2023-2024
Georgia Tech,32,14,18,0.438,4.60,8.82,,7,13,,8,7,,4,9,,2272,2407,,68.2,108.6,0.316,0.394,0.530,48.2,50.9,10.0,9.0,0.492,11.1,28.5,0.233,2023-2024
Gonzaga NCAA,35,27,8,0.771,17.93,4.02,,14,2,,13,2,,8,2,,2959,2420,,69.8,99.1,0.249,0.367,0.499,45.0,49.2,7.8,6.0,0.468,13.9,27.5,0.179,2023-2024
Grambling NCAA,36,21,15,0.583,-9.63,-5.48,,14,4,,9,3,,7,9,,2436,2506,,66.9,102.9,0.325,0.344,0.532,51.0,55.6,10.4,7.5,0.496,16.4,32.3,0.236,2023-2024
Grand Canyon NCAA,35,30,5,0.857,10.45,-0.52,,17,3,,16,0,,8,3,,2769,2346,,69.8,95.6,0.333,0.340,0.497,46.9,48.2,8.7,7.3,0.458,17.1,30.1,0.235,2023-2024
Green Bay,32,18,14,0.563,-5.64,-4.07,,13,7,,10,5,,8,8,,2209,2207,,64.6,105.9,0.345,0.354,0.527,49.6,51.0,9.6,14.0,0.487,12.4,28.2,0.252,2023-2024
Hampton,33,9,24,0.273,-15.82,-5.29,,3,15,,5,9,,1,12,,2369,2520,,70.8,107.9,0.294,0.397,0.536,50.2,48.9,10.1,7.2,0.500,13.2,30.4,0.221,2023-2024
Harvard,27,14,13,0.519,-4.58,-2.08,,5,9,,9,5,,5,8,,1900,1937,,67.8,104.9,0.248,0.410,0.520,51.4,52.8,9.9,11.0,0.495,13.8,31.2,0.172,2023-2024
Hawaii,34,20,14,0.588,-0.07,-2.57,,11,9,,13,6,,4,6,,2458,2337,,67.4,100.8,0.330,0.256,0.522,48.5,36.9,9.1,7.7,0.484,14.2,24.8,0.239,2023-2024
High Point,36,27,9,0.750,2.15,-4.83,,13,3,,16,2,,7,5,,3020,2680,,69.3,106.0,0.360,0.316,0.534,44.1,44.6,7.0,7.8,0.495,12.6,26.0,0.261,2023-2024
Hofstra,33,20,13,0.606,2.31,-1.98,,12,6,,11,2,,5,10,,2449,2259,,66.6,102.4,0.286,0.419,0.524,51.8,53.9,8.3,8.1,0.486,15.5,29.3,0.217,2023-2024
Holy Cross,33,10,23,0.303,-17.12,-7.87,,6,12,,5,8,,4,14,,2194,2462,,65.4,113.6,0.299,0.394,0.561,52.0,52.8,10.0,9.0,0.532,11.2,27.8,0.216,2023-2024
Houston NCAA,37,32,5,0.865,25.69,9.80,,15,3,,17,0,,7,3,,2720,2132,,64.1,89.0,0.394,0.401,0.482,47.7,59.8,7.8,7.2,0.440,20.9,31.2,0.266,2023-2024
Houston Christian,29,6,23,0.207,-19.37,-3.89,,4,14,,5,8,,1,15,,2074,2420,,73.4,113.2,0.278,0.338,0.558,50.8,51.9,12.4,11.0,0.532,12.2,32.1,0.201,2023-2024
Howard NCAA,35,18,17,0.514,-8.69,-8.02,,9,5,,9,4,,6,9,,2623,2600,,69.4,105.6,0.386,0.328,0.540,47.2,47.2,10.8,10.6,0.504,15.1,30.2,0.269,2023-2024
Idaho,32,11,21,0.344,-11.29,-4.69,,5,13,,6,10,,4,10,,2170,2278,,65.9,107.7,0.366,0.385,0.559,51.8,53.5,9.8,10.6,0.522,14.8,27.3,0.267,2023-2024
Idaho State,34,14,20,0.412,-7.49,-5.11,,7,11,,8,5,,4,13,,2397,2383,,64.9,106.1,0.308,0.310,0.566,48.5,46.7,9.5,6.5,0.534,16.5,25.5,0.230,2023-2024
Illinois NCAA,38,29,9,0.763,19.56,9.54,,14,6,,15,3,,6,5,,3168,2787,,70.1,104.0,0.267,0.283,0.511,44.8,44.1,8.1,8.4,0.480,10.8,26.3,0.193,2023-2024
Illinois State,32,15,17,0.469,-1.38,0.43,,9,11,,10,6,,4,8,,2128,2165,,65.3,103.7,0.271,0.393,0.537,48.9,51.5,8.0,9.3,0.506,14.6,25.7,0.199,2023-2024
Illinois-Chicago,33,12,21,0.364,-1.61,1.30,,4,16,,6,9,,3,10,,2319,2361,,68.7,102.3,0.356,0.348,0.526,52.3,52.2,9.5,10.5,0.481,15.2,28.2,0.267,2023-2024
Incarnate Word,31,8,23,0.258,-16.40,-7.92,,3,15,,5,8,,3,14,,2240,2436,,71.9,108.4,0.396,0.342,0.548,49.3,52.8,11.6,11.1,0.510,13.5,29.5,0.281,2023-2024
Indiana,33,19,14,0.576,7.74,9.74,,10,10,,13,5,,4,6,,2386,2452,,69.4,107.1,0.316,0.412,0.529,50.0,52.9,10.8,7.6,0.490,12.8,29.7,0.237,2023-2024
Indiana State,39,32,7,0.821,13.44,2.26,,17,3,,16,1,,9,4,,3309,2854,,71.4,102.1,0.259,0.340,0.528,47.4,40.2,8.6,11.4,0.497,13.9,23.4,0.192,2023-2024
